Seyonic Pipettor Initializing...,Thu Nov  9 10:24:40 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:24:41 2023,
close_valve(channel=0),Thu Nov  9 10:24:45 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:24:46 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:24:51 2023,
close_valve(channel=0),Thu Nov  9 10:24:52 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:24:53 2023,
dispense(pressure=100),Thu Nov  9 10:25:46 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:25:46 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:25:49 2023,
dispense(pressure=100),Thu Nov  9 10:25:56 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:25:56 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:25:58 2023,
dispense(pressure=100),Thu Nov  9 10:26:05 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:26:05 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:26:07 2023,
dispense(pressure=100),Thu Nov  9 10:26:15 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:26:15 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:26:17 2023,
dispense(pressure=100),Thu Nov  9 10:26:24 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:26:24 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:26:26 2023,
dispense(pressure=100),Thu Nov  9 10:26:37 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:26:37 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:26:39 2023,
dispense(pressure=100),Thu Nov  9 10:26:45 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:26:45 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:26:47 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:26:55 2023,
close_valve(channel=0),Thu Nov  9 10:27:00 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:27:01 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:27:05 2023,
close_valve(channel=0),Thu Nov  9 10:27:07 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:27:08 2023,
dispense(pressure=100),Thu Nov  9 10:28:01 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:01 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:03 2023,
dispense(pressure=100),Thu Nov  9 10:28:10 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:13 2023,
dispense(pressure=100),Thu Nov  9 10:28:20 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:20 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:22 2023,
dispense(pressure=100),Thu Nov  9 10:28:29 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:29 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:32 2023,
dispense(pressure=100),Thu Nov  9 10:28:39 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:39 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:41 2023,
dispense(pressure=100),Thu Nov  9 10:28:52 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:52 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:28:54 2023,
dispense(pressure=100),Thu Nov  9 10:28:59 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:28:59 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:29:02 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:29:10 2023,
close_valve(channel=0),Thu Nov  9 10:29:14 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:29:15 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:29:20 2023,
close_valve(channel=0),Thu Nov  9 10:29:21 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:29:23 2023,
dispense(pressure=100),Thu Nov  9 10:30:16 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:30:16 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:30:18 2023,
dispense(pressure=100),Thu Nov  9 10:30:25 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:30:25 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:30:27 2023,
dispense(pressure=100),Thu Nov  9 10:30:34 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:30:34 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:30:37 2023,
