Seyonic Pipettor Initializing...,Thu Sep 28 11:33:44 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:33:45 2023,
close_valve(channel=0),Thu Sep 28 11:33:49 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:33:50 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:33:55 2023,
close_valve(channel=0),Thu Sep 28 11:33:56 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:33:57 2023,
dispense(pressure=100),Thu Sep 28 11:34:50 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:34:50 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:34:52 2023,
dispense(pressure=100),Thu Sep 28 11:34:59 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:34:59 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:02 2023,
dispense(pressure=100),Thu Sep 28 11:35:09 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:35:09 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:11 2023,
dispense(pressure=100),Thu Sep 28 11:35:18 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:35:18 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:20 2023,
dispense(pressure=100),Thu Sep 28 11:35:28 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:35:28 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:30 2023,
dispense(pressure=100),Thu Sep 28 11:35:41 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:35:41 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:43 2023,
dispense(pressure=100),Thu Sep 28 11:35:48 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:35:48 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:35:50 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:35:59 2023,
close_valve(channel=0),Thu Sep 28 11:36:03 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:36:04 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:36:09 2023,
close_valve(channel=0),Thu Sep 28 11:36:10 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:36:11 2023,
dispense(pressure=100),Thu Sep 28 11:37:04 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:04 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:06 2023,
dispense(pressure=100),Thu Sep 28 11:37:13 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:13 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:16 2023,
dispense(pressure=100),Thu Sep 28 11:37:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:25 2023,
dispense(pressure=100),Thu Sep 28 11:37:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:34 2023,
dispense(pressure=100),Thu Sep 28 11:37:41 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:42 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:44 2023,
dispense(pressure=100),Thu Sep 28 11:37:55 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:37:55 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:37:57 2023,
dispense(pressure=100),Thu Sep 28 11:38:02 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:38:02 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:38:04 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:38:13 2023,
close_valve(channel=0),Thu Sep 28 11:38:17 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:38:18 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:38:23 2023,
close_valve(channel=0),Thu Sep 28 11:38:24 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:38:25 2023,
dispense(pressure=100),Thu Sep 28 11:39:18 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:39:18 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:39:20 2023,
dispense(pressure=100),Thu Sep 28 11:39:27 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:39:27 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:39:29 2023,
dispense(pressure=100),Thu Sep 28 11:39:37 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:39:37 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:39:39 2023,
dispense(pressure=100),Thu Sep 28 11:39:46 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:39:46 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:39:48 2023,
dispense(pressure=100),Thu Sep 28 11:39:55 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:39:55 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:39:58 2023,
dispense(pressure=100),Thu Sep 28 11:40:09 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:40:09 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:40:11 2023,
dispense(pressure=100),Thu Sep 28 11:40:16 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:40:16 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:40:18 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:40:27 2023,
close_valve(channel=0),Thu Sep 28 11:40:31 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:40:32 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:40:37 2023,
close_valve(channel=0),Thu Sep 28 11:40:38 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:40:39 2023,
dispense(pressure=100),Thu Sep 28 11:41:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:41:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:41:34 2023,
dispense(pressure=100),Thu Sep 28 11:41:41 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:41:41 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:41:44 2023,
dispense(pressure=100),Thu Sep 28 11:41:51 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:41:51 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:41:53 2023,
dispense(pressure=100),Thu Sep 28 11:42:00 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:42:00 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:42:02 2023,
dispense(pressure=100),Thu Sep 28 11:42:10 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:42:10 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:42:12 2023,
dispense(pressure=100),Thu Sep 28 11:42:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:42:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:42:25 2023,
dispense(pressure=100),Thu Sep 28 11:42:30 2023,
