Seyonic Pipettor Initializing...,Fri Sep 15 10:57:17 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 10:57:37 2023,
close_valve(channel=0),Fri Sep 15 10:57:40 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 10:57:41 2023,
dispense(pressure=100),Fri Sep 15 10:57:43 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:57:43 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:57:55 2023,
dispense(pressure=100),Fri Sep 15 10:58:02 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:58:02 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:58:05 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 10:58:08 2023,
close_valve(channel=0),Fri Sep 15 10:58:12 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 10:58:13 2023,
dispense(pressure=100),Fri Sep 15 10:58:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:58:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:58:32 2023,
dispense(pressure=100),Fri Sep 15 10:58:36 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:58:36 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:58:39 2023,
dispense(pressure=100),Fri Sep 15 10:58:43 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:58:43 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:58:46 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 10:58:55 2023,
close_valve(channel=0),Fri Sep 15 10:58:58 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 10:58:59 2023,
dispense(pressure=100),Fri Sep 15 10:59:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:59:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:59:13 2023,
dispense(pressure=100),Fri Sep 15 10:59:17 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:59:17 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:59:20 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 10:59:23 2023,
close_valve(channel=0),Fri Sep 15 10:59:27 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 10:59:28 2023,
dispense(pressure=100),Fri Sep 15 10:59:36 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:59:36 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:59:47 2023,
dispense(pressure=100),Fri Sep 15 10:59:51 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:59:51 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 10:59:54 2023,
dispense(pressure=100),Fri Sep 15 10:59:58 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 10:59:58 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:00:02 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:00:10 2023,
close_valve(channel=0),Fri Sep 15 11:00:14 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:00:15 2023,
dispense(pressure=100),Fri Sep 15 11:00:17 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:00:17 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:00:28 2023,
dispense(pressure=100),Fri Sep 15 11:00:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:00:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:00:35 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:00:38 2023,
close_valve(channel=0),Fri Sep 15 11:00:43 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:00:44 2023,
dispense(pressure=100),Fri Sep 15 11:00:51 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:00:51 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:01:03 2023,
dispense(pressure=100),Fri Sep 15 11:01:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:01:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:01:10 2023,
dispense(pressure=100),Fri Sep 15 11:01:14 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:01:14 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:01:18 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:01:26 2023,
close_valve(channel=0),Fri Sep 15 11:01:30 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:01:31 2023,
dispense(pressure=100),Fri Sep 15 11:01:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:01:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:01:44 2023,
dispense(pressure=100),Fri Sep 15 11:01:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:01:48 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:01:51 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:01:54 2023,
close_valve(channel=0),Fri Sep 15 11:01:59 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:02:00 2023,
dispense(pressure=100),Fri Sep 15 11:02:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:02:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:02:19 2023,
dispense(pressure=100),Fri Sep 15 11:02:23 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:02:23 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:02:26 2023,
dispense(pressure=100),Fri Sep 15 11:02:30 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:02:30 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:02:33 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:23:06 2023,
close_valve(channel=0),Fri Sep 15 11:23:10 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:23:11 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:23:16 2023,
close_valve(channel=0),Fri Sep 15 11:23:17 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:23:18 2023,
dispense(pressure=100),Fri Sep 15 11:24:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:24:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:24:14 2023,
dispense(pressure=100),Fri Sep 15 11:24:21 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:24:21 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:24:24 2023,
dispense(pressure=100),Fri Sep 15 11:24:31 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:24:31 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:24:35 2023,
dispense(pressure=100),Fri Sep 15 11:24:42 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:24:42 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:24:45 2023,
dispense(pressure=100),Fri Sep 15 11:24:52 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:24:52 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:24:56 2023,
dispense(pressure=100),Fri Sep 15 11:25:06 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:25:06 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:25:09 2023,
dispense(pressure=100),Fri Sep 15 11:25:14 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:25:14 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:25:16 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:25:25 2023,
close_valve(channel=0),Fri Sep 15 11:25:29 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:25:30 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:25:35 2023,
close_valve(channel=0),Fri Sep 15 11:25:36 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:25:37 2023,
dispense(pressure=100),Fri Sep 15 11:26:30 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:26:30 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:26:33 2023,
dispense(pressure=100),Fri Sep 15 11:26:40 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:26:40 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:26:43 2023,
dispense(pressure=100),Fri Sep 15 11:26:50 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:26:50 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:26:53 2023,
dispense(pressure=100),Fri Sep 15 11:27:00 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:27:00 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:27:03 2023,
dispense(pressure=100),Fri Sep 15 11:27:10 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:27:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:27:14 2023,
dispense(pressure=100),Fri Sep 15 11:27:25 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:27:25 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:27:27 2023,
dispense(pressure=100),Fri Sep 15 11:27:32 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:27:32 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:27:34 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:27:43 2023,
close_valve(channel=0),Fri Sep 15 11:27:47 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:27:48 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:27:53 2023,
close_valve(channel=0),Fri Sep 15 11:27:54 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:27:55 2023,
dispense(pressure=100),Fri Sep 15 11:28:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:28:48 2023,
