Seyonic Pipettor Initializing...,Tue Aug  1 11:18:46 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:19:06 2023,
close_valve(channel=0),Tue Aug  1 11:19:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:19:10 2023,
dispense(pressure=100),Tue Aug  1 11:19:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:19:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:19:16 2023,
dispense(pressure=100),Tue Aug  1 11:19:23 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:19:23 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:19:26 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:19:29 2023,
close_valve(channel=0),Tue Aug  1 11:19:33 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:19:34 2023,
dispense(pressure=100),Tue Aug  1 11:19:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:19:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:19:46 2023,
dispense(pressure=100),Tue Aug  1 11:19:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:19:50 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:19:53 2023,
dispense(pressure=100),Tue Aug  1 11:19:57 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:19:57 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:19:59 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:20:08 2023,
close_valve(channel=0),Tue Aug  1 11:20:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:20:12 2023,
dispense(pressure=100),Tue Aug  1 11:20:14 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:20:14 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:20:18 2023,
dispense(pressure=100),Tue Aug  1 11:20:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:20:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:20:25 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:20:28 2023,
close_valve(channel=0),Tue Aug  1 11:20:32 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:20:33 2023,
dispense(pressure=100),Tue Aug  1 11:20:41 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:20:41 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:20:45 2023,
dispense(pressure=100),Tue Aug  1 11:20:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:20:50 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:20:52 2023,
dispense(pressure=100),Tue Aug  1 11:20:56 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:20:56 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:20:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:21:07 2023,
close_valve(channel=0),Tue Aug  1 11:21:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:21:12 2023,
dispense(pressure=100),Tue Aug  1 11:21:14 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:21:14 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:21:18 2023,
dispense(pressure=100),Tue Aug  1 11:21:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:21:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:21:24 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:21:27 2023,
close_valve(channel=0),Tue Aug  1 11:21:32 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:21:33 2023,
dispense(pressure=100),Tue Aug  1 11:21:40 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:21:40 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:21:45 2023,
dispense(pressure=100),Tue Aug  1 11:21:49 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:21:49 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:21:52 2023,
dispense(pressure=100),Tue Aug  1 11:21:56 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:21:56 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:21:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:22:07 2023,
close_valve(channel=0),Tue Aug  1 11:22:10 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:22:11 2023,
dispense(pressure=100),Tue Aug  1 11:22:13 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:22:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:22:17 2023,
dispense(pressure=100),Tue Aug  1 11:22:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:22:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:22:23 2023,
