Seyonic Pipettor Initializing...,Tue Jul 11 10:35:21 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:35:43 2023,
close_valve(channel=0),Tue Jul 11 10:35:44 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:35:45 2023,
dispense(pressure=100),Tue Jul 11 10:35:55 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:35:55 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:35:57 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:35:59 2023,
close_valve(channel=0),Tue Jul 11 10:36:00 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:36:01 2023,
dispense(pressure=100),Tue Jul 11 10:36:02 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:36:02 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:36:04 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:36:06 2023,
close_valve(channel=0),Tue Jul 11 10:36:07 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:36:08 2023,
dispense(pressure=100),Tue Jul 11 10:36:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:36:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:36:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:36:13 2023,
close_valve(channel=0),Tue Jul 11 10:36:15 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:36:16 2023,
dispense(pressure=100),Tue Jul 11 10:36:17 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:36:17 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:36:19 2023,
dispense(pressure=100),Tue Jul 11 10:38:31 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:38:31 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:38:33 2023,
