Seyonic Pipettor Initializing...,Tue Jul 11 11:53:15 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:53:24 2023,
close_valve(channel=0),Tue Jul 11 11:53:25 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:53:26 2023,
dispense(pressure=100),Tue Jul 11 11:53:29 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:53:29 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:53:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:53:36 2023,
close_valve(channel=0),Tue Jul 11 11:53:38 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:53:39 2023,
dispense(pressure=100),Tue Jul 11 11:53:42 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:53:42 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:53:44 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:53:48 2023,
close_valve(channel=0),Tue Jul 11 11:53:50 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:53:51 2023,
dispense(pressure=100),Tue Jul 11 11:53:54 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:53:54 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:53:56 2023,
