Seyonic Pipettor Initializing...,Tue Aug  1 12:51:43 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:51:54 2023,
close_valve(channel=0),Tue Aug  1 12:51:55 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:51:56 2023,
dispense(pressure=100),Tue Aug  1 12:52:05 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:52:05 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:52:07 2023,
dispense(pressure=100),Tue Aug  1 12:52:11 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:52:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:52:13 2023,
set_pressure(pressure=-8; direction=None),Tue Aug  1 12:52:48 2023,
close_valve(channel=2),Tue Aug  1 12:52:54 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:52:55 2023,
close_valve(channel=0),Tue Aug  1 12:52:55 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:52:56 2023,
dispense(pressure=20),Tue Aug  1 12:53:06 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 12:53:06 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:53:09 2023,
dispense(pressure=20),Tue Aug  1 12:53:13 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 12:53:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:53:15 2023,
set_pressure(pressure=-8; direction=None),Tue Aug  1 12:53:51 2023,
close_valve(channel=1),Tue Aug  1 12:53:56 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:53:57 2023,
close_valve(channel=0),Tue Aug  1 12:53:57 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:53:59 2023,
