Seyonic Pipettor Initializing...,Thu Nov  9 11:17:21 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:17:28 2023,
close_valve(channel=0),Thu Nov  9 11:17:29 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:17:30 2023,
dispense(pressure=100),Thu Nov  9 11:17:32 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:17:32 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:17:35 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:17:38 2023,
close_valve(channel=0),Thu Nov  9 11:17:39 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:17:40 2023,
dispense(pressure=100),Thu Nov  9 11:17:42 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:17:42 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:17:44 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:17:47 2023,
close_valve(channel=0),Thu Nov  9 11:17:49 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:17:50 2023,
dispense(pressure=100),Thu Nov  9 11:17:52 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:17:52 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:17:54 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:17:57 2023,
close_valve(channel=0),Thu Nov  9 11:17:59 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:18:00 2023,
dispense(pressure=100),Thu Nov  9 11:18:02 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:18:02 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:18:04 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:18:07 2023,
close_valve(channel=0),Thu Nov  9 11:18:09 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:18:10 2023,
dispense(pressure=100),Thu Nov  9 11:18:12 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:18:12 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:18:14 2023,
dispense(pressure=100),Thu Nov  9 11:18:20 2023,
