Seyonic Pipettor Initializing...,Mon Jul 24 14:44:32 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:44:53 2023,
close_valve(channel=0),Mon Jul 24 14:44:54 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:44:55 2023,
dispense(pressure=100),Mon Jul 24 14:45:07 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:45:07 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:45:09 2023,
dispense(pressure=100),Mon Jul 24 14:45:19 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:45:19 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:45:21 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:45:56 2023,
close_valve(channel=0),Mon Jul 24 14:45:57 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:45:59 2023,
dispense(pressure=100),Mon Jul 24 14:46:08 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:08 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:46:10 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:46:12 2023,
close_valve(channel=0),Mon Jul 24 14:46:13 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:46:14 2023,
dispense(pressure=100),Mon Jul 24 14:46:17 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:17 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:46:19 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:46:23 2023,
close_valve(channel=0),Mon Jul 24 14:46:24 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:46:25 2023,
dispense(pressure=100),Mon Jul 24 14:46:28 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:28 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:46:30 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:46:34 2023,
close_valve(channel=0),Mon Jul 24 14:46:35 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:46:36 2023,
dispense(pressure=100),Mon Jul 24 14:46:39 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:39 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:46:41 2023,
dispense(pressure=100),Mon Jul 24 14:46:49 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:49 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:46:51 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:46:54 2023,
close_valve(channel=0),Mon Jul 24 14:46:56 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:46:57 2023,
dispense(pressure=100),Mon Jul 24 14:46:59 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:46:59 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:47:01 2023,
dispense(pressure=100),Mon Jul 24 14:47:06 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:47:06 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:47:08 2023,
set_pressure(pressure=-20; direction=None),Mon Jul 24 14:47:11 2023,
close_valve(channel=0),Mon Jul 24 14:47:12 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:47:13 2023,
dispense(pressure=20),Mon Jul 24 14:49:33 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 14:49:33 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:49:35 2023,
open_valve(),Mon Jul 24 14:49:36 2023,
close_valve(channel=0),Mon Jul 24 14:49:47 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:50:19 2023,
close_valve(channel=0),Mon Jul 24 14:50:20 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:50:21 2023,
dispense(pressure=100),Mon Jul 24 14:50:30 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:50:30 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:50:32 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:50:34 2023,
close_valve(channel=0),Mon Jul 24 14:50:35 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:50:36 2023,
dispense(pressure=100),Mon Jul 24 14:50:40 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:50:40 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:50:42 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:50:47 2023,
close_valve(channel=0),Mon Jul 24 14:50:49 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:50:50 2023,
dispense(pressure=100),Mon Jul 24 14:50:54 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:50:54 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:50:56 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:51:01 2023,
close_valve(channel=0),Mon Jul 24 14:51:02 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:51:03 2023,
dispense(pressure=100),Mon Jul 24 14:51:07 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:51:07 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:51:09 2023,
dispense(pressure=100),Mon Jul 24 14:51:18 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:51:18 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:51:20 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:51:23 2023,
close_valve(channel=0),Mon Jul 24 14:51:24 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:51:25 2023,
dispense(pressure=100),Mon Jul 24 14:51:27 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:51:27 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:51:29 2023,
dispense(pressure=100),Mon Jul 24 14:51:34 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:51:34 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:51:36 2023,
set_pressure(pressure=-20; direction=None),Mon Jul 24 14:51:39 2023,
close_valve(channel=0),Mon Jul 24 14:51:40 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:51:41 2023,
dispense(pressure=20),Mon Jul 24 14:51:56 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 14:51:56 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:51:58 2023,
open_valve(),Mon Jul 24 14:51:59 2023,
close_valve(channel=0),Mon Jul 24 14:52:10 2023,
