Seyonic Pipettor Initializing...,Tue Jul 11 10:21:09 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:21:19 2023,
close_valve(channel=0),Tue Jul 11 10:21:21 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:21:22 2023,
dispense(pressure=100),Tue Jul 11 10:21:33 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:21:33 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:21:35 2023,
dispense(pressure=100),Tue Jul 11 10:21:40 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:21:40 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:21:43 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:21:54 2023,
close_valve(channel=0),Tue Jul 11 10:21:56 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:21:57 2023,
dispense(pressure=100),Tue Jul 11 10:22:07 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:22:07 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:22:10 2023,
dispense(pressure=100),Tue Jul 11 10:22:15 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:22:15 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:22:17 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:22:28 2023,
close_valve(channel=0),Tue Jul 11 10:22:30 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:22:31 2023,
dispense(pressure=100),Tue Jul 11 10:22:41 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:22:41 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:22:44 2023,
dispense(pressure=100),Tue Jul 11 10:22:49 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:22:49 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:22:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:23:23 2023,
close_valve(channel=0),Tue Jul 11 10:23:25 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:23:26 2023,
dispense(pressure=100),Tue Jul 11 10:23:35 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:23:35 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:23:37 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:25:39 2023,
close_valve(channel=0),Tue Jul 11 10:25:41 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:25:42 2023,
dispense(pressure=100),Tue Jul 11 10:25:51 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:25:51 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:25:54 2023,
dispense(pressure=100),Tue Jul 11 10:25:59 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:25:59 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:26:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:26:34 2023,
close_valve(channel=0),Tue Jul 11 10:26:36 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:26:37 2023,
dispense(pressure=100),Tue Jul 11 10:26:47 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:26:47 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:26:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 10:27:01 2023,
close_valve(channel=0),Tue Jul 11 10:27:02 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 10:27:03 2023,
dispense(pressure=100),Tue Jul 11 10:27:14 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 10:27:14 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 10:27:16 2023,
