Seyonic Pipettor Initializing...,Wed Aug  2 15:05:56 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:06:15 2023,
close_valve(channel=0),Wed Aug  2 15:06:16 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:06:17 2023,
dispense(pressure=20),Wed Aug  2 15:06:28 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:06:28 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:06:30 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:06:32 2023,
close_valve(channel=0),Wed Aug  2 15:06:34 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:06:35 2023,
dispense(pressure=20),Wed Aug  2 15:06:53 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:06:53 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:06:55 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:06:57 2023,
close_valve(channel=0),Wed Aug  2 15:06:59 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:07:00 2023,
dispense(pressure=20),Wed Aug  2 15:07:12 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:07:12 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:07:15 2023,
