Seyonic Pipettor Initializing...,Mon Jul 24 12:33:17 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:33:23 2023,
close_valve(channel=0),Mon Jul 24 12:33:28 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:33:29 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:33:37 2023,
close_valve(channel=0),Mon Jul 24 12:33:39 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:33:40 2023,
dispense(pressure=20),Mon Jul 24 12:33:44 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:33:44 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:33:49 2023,
dispense(pressure=20),Mon Jul 24 12:33:51 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:33:51 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:33:57 2023,
dispense(pressure=20),Mon Jul 24 12:33:59 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:33:59 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:34:04 2023,
dispense(pressure=20),Mon Jul 24 12:34:06 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:34:06 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:34:12 2023,
dispense(pressure=20),Mon Jul 24 12:34:14 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:34:14 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:34:19 2023,
