Seyonic Pipettor Initializing...,Tue Aug  8 13:49:48 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:50:07 2023,
close_valve(channel=0),Tue Aug  8 13:50:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:50:10 2023,
dispense(pressure=100),Tue Aug  8 13:50:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:50:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:50:23 2023,
dispense(pressure=100),Tue Aug  8 13:50:33 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:50:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:50:35 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:51:10 2023,
close_valve(channel=0),Tue Aug  8 13:51:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:51:12 2023,
dispense(pressure=100),Tue Aug  8 13:51:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:51:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:51:23 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:51:25 2023,
close_valve(channel=0),Tue Aug  8 13:51:26 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:51:27 2023,
dispense(pressure=100),Tue Aug  8 13:51:30 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:51:30 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:51:32 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:51:36 2023,
close_valve(channel=0),Tue Aug  8 13:51:38 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:51:39 2023,
dispense(pressure=100),Tue Aug  8 13:51:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:51:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:51:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:51:48 2023,
close_valve(channel=0),Tue Aug  8 13:51:49 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:51:50 2023,
dispense(pressure=100),Tue Aug  8 13:51:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:51:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:51:55 2023,
dispense(pressure=100),Tue Aug  8 13:52:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:52:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:52:05 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:52:08 2023,
close_valve(channel=0),Tue Aug  8 13:52:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:52:10 2023,
dispense(pressure=100),Tue Aug  8 13:52:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:52:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:52:14 2023,
dispense(pressure=100),Tue Aug  8 13:52:19 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:52:19 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:52:21 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:52:24 2023,
close_valve(channel=0),Tue Aug  8 13:52:25 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:52:26 2023,
dispense(pressure=100),Tue Aug  8 13:52:43 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:52:43 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:52:45 2023,
open_valve(),Tue Aug  8 13:52:46 2023,
close_valve(channel=0),Tue Aug  8 13:52:57 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:53:29 2023,
close_valve(channel=0),Tue Aug  8 13:53:30 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:53:31 2023,
dispense(pressure=100),Tue Aug  8 13:53:40 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:53:40 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:53:42 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:53:44 2023,
close_valve(channel=0),Tue Aug  8 13:53:45 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:53:46 2023,
dispense(pressure=100),Tue Aug  8 13:53:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:53:50 2023,
