Seyonic Pipettor Initializing...,Tue Oct  3 10:15:03 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 10:15:24 2023,
close_valve(channel=0),Tue Oct  3 10:15:28 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 10:15:29 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 10:15:34 2023,
close_valve(channel=0),Tue Oct  3 10:15:35 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 10:15:36 2023,
dispense(pressure=100),Tue Oct  3 10:16:29 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:16:29 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:16:32 2023,
dispense(pressure=100),Tue Oct  3 10:16:39 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:16:39 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:16:41 2023,
dispense(pressure=100),Tue Oct  3 10:16:48 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:16:48 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:16:51 2023,
dispense(pressure=100),Tue Oct  3 10:16:58 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:16:58 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:17:00 2023,
dispense(pressure=100),Tue Oct  3 10:17:07 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:17:07 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:17:10 2023,
dispense(pressure=100),Tue Oct  3 10:17:20 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:17:20 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:17:23 2023,
dispense(pressure=100),Tue Oct  3 10:17:28 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:17:28 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:17:30 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 10:17:38 2023,
close_valve(channel=0),Tue Oct  3 10:17:42 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 10:17:44 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 10:17:48 2023,
close_valve(channel=0),Tue Oct  3 10:17:50 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 10:17:51 2023,
dispense(pressure=100),Tue Oct  3 10:18:44 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:18:44 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:18:46 2023,
dispense(pressure=100),Tue Oct  3 10:18:53 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:18:53 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:18:55 2023,
dispense(pressure=100),Tue Oct  3 10:19:02 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:19:02 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:19:05 2023,
dispense(pressure=100),Tue Oct  3 10:19:12 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:19:12 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:19:14 2023,
dispense(pressure=100),Tue Oct  3 10:19:21 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:19:21 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 10:19:24 2023,
dispense(pressure=100),Tue Oct  3 10:19:34 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 10:19:34 2023,
