Seyonic Pipettor Initializing...,Fri Aug 25 15:13:17 2023,
dispense(pressure=100),Fri Aug 25 15:18:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:05 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:07 2023,
dispense(pressure=100),Fri Aug 25 15:18:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:15 2023,
dispense(pressure=100),Fri Aug 25 15:18:19 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:19 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:21 2023,
dispense(pressure=100),Fri Aug 25 15:18:26 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:26 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:28 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:19:03 2023,
close_valve(channel=0),Fri Aug 25 15:19:05 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:19:06 2023,
dispense(pressure=100),Fri Aug 25 15:19:08 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:19:08 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:19:10 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:19:13 2023,
close_valve(channel=0),Fri Aug 25 15:19:14 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:19:15 2023,
dispense(pressure=100),Fri Aug 25 15:19:17 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:19:17 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:19:20 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:19:23 2023,
close_valve(channel=0),Fri Aug 25 15:19:24 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:19:25 2023,
dispense(pressure=100),Fri Aug 25 15:19:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:19:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:19:30 2023,
