Seyonic Pipettor Initializing...,Thu Aug  3 15:20:12 2023,
dispense(pressure=20),Thu Aug  3 15:20:13 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:13 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:15 2023,
dispense(pressure=20),Thu Aug  3 15:20:20 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:20 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:22 2023,
dispense(pressure=20),Thu Aug  3 15:20:27 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:27 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:29 2023,
dispense(pressure=20),Thu Aug  3 15:20:34 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:34 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:36 2023,
dispense(pressure=20),Thu Aug  3 15:20:41 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:41 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:43 2023,
dispense(pressure=20),Thu Aug  3 15:20:48 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:20:48 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:20:50 2023,
