Seyonic Pipettor Initializing...,Tue Aug  8 10:34:19 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:34:38 2023,
close_valve(channel=0),Tue Aug  8 10:34:42 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:34:43 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:34:48 2023,
close_valve(channel=0),Tue Aug  8 10:34:50 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:34:51 2023,
dispense(pressure=100),Tue Aug  8 10:35:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:35:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:35:46 2023,
dispense(pressure=100),Tue Aug  8 10:35:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:35:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:35:56 2023,
dispense(pressure=100),Tue Aug  8 10:36:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:36:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:36:05 2023,
dispense(pressure=100),Tue Aug  8 10:36:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:36:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:36:14 2023,
dispense(pressure=100),Tue Aug  8 10:36:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:36:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:36:24 2023,
dispense(pressure=100),Tue Aug  8 10:36:35 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:36:35 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:36:37 2023,
dispense(pressure=100),Tue Aug  8 10:36:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:36:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:36:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:36:52 2023,
close_valve(channel=0),Tue Aug  8 10:36:57 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:36:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:37:03 2023,
close_valve(channel=0),Tue Aug  8 10:37:04 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:37:05 2023,
dispense(pressure=100),Tue Aug  8 10:37:58 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:37:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:00 2023,
dispense(pressure=100),Tue Aug  8 10:38:07 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:07 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:10 2023,
dispense(pressure=100),Tue Aug  8 10:38:17 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:17 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:19 2023,
dispense(pressure=100),Tue Aug  8 10:38:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:28 2023,
dispense(pressure=100),Tue Aug  8 10:38:35 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:36 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:38 2023,
dispense(pressure=100),Tue Aug  8 10:38:49 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:49 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:51 2023,
dispense(pressure=100),Tue Aug  8 10:38:56 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:38:56 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:38:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:39:06 2023,
close_valve(channel=0),Tue Aug  8 10:39:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:39:12 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:39:17 2023,
close_valve(channel=0),Tue Aug  8 10:39:18 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:39:19 2023,
dispense(pressure=100),Tue Aug  8 10:40:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:40:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:40:14 2023,
dispense(pressure=100),Tue Aug  8 10:40:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:40:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:40:24 2023,
dispense(pressure=100),Tue Aug  8 10:40:31 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:40:31 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:40:33 2023,
dispense(pressure=100),Tue Aug  8 10:40:40 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:40:40 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:40:42 2023,
dispense(pressure=100),Tue Aug  8 10:40:49 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:40:49 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:40:52 2023,
dispense(pressure=100),Tue Aug  8 10:41:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:41:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:41:05 2023,
dispense(pressure=100),Tue Aug  8 10:41:10 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:41:10 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:41:12 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:41:20 2023,
close_valve(channel=0),Tue Aug  8 10:41:25 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:41:26 2023,
