Seyonic Pipettor Initializing...,Thu Aug  3 15:43:22 2023,
dispense(pressure=20),Thu Aug  3 15:43:23 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:23 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:43:25 2023,
dispense(pressure=20),Thu Aug  3 15:43:30 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:43:32 2023,
dispense(pressure=20),Thu Aug  3 15:43:37 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:37 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:43:39 2023,
dispense(pressure=20),Thu Aug  3 15:43:44 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:44 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:43:46 2023,
dispense(pressure=20),Thu Aug  3 15:43:51 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:51 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:43:53 2023,
dispense(pressure=20),Thu Aug  3 15:43:58 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:43:58 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:44:00 2023,
