Seyonic Pipettor Initializing...,Fri Jun 30 13:42:50 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:42:51 2023,
close_valve(channel=0),Fri Jun 30 13:42:54 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:42:55 2023,
dispense(pressure=200),Fri Jun 30 13:42:56 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:42:56 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:42:59 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:43:01 2023,
close_valve(channel=0),Fri Jun 30 13:43:04 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:43:05 2023,
dispense(pressure=200),Fri Jun 30 13:43:06 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:06 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:43:10 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:43:12 2023,
close_valve(channel=0),Fri Jun 30 13:43:15 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:43:16 2023,
dispense(pressure=200),Fri Jun 30 13:43:17 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:17 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:43:20 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:43:22 2023,
close_valve(channel=0),Fri Jun 30 13:43:25 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:43:26 2023,
dispense(pressure=200),Fri Jun 30 13:43:27 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:28 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:43:31 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:43:33 2023,
close_valve(channel=0),Fri Jun 30 13:43:36 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:43:37 2023,
dispense(pressure=200),Fri Jun 30 13:43:38 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:38 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:43:41 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:43:43 2023,
close_valve(channel=0),Fri Jun 30 13:43:47 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:43:48 2023,
dispense(pressure=200),Fri Jun 30 13:43:49 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:49 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:43:52 2023,
dispense(pressure=200),Fri Jun 30 13:43:58 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:43:58 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:44:00 2023,
dispense(pressure=200),Fri Jun 30 13:44:04 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:44:04 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:44:06 2023,
