Seyonic Pipettor Initializing...,Thu Sep 28 13:49:19 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:49:20 2023,
close_valve(channel=0),Thu Sep 28 13:49:21 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:49:22 2023,
dispense(pressure=100),Thu Sep 28 13:49:33 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:49:33 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:49:35 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:50:13 2023,
close_valve(channel=0),Thu Sep 28 13:50:14 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:50:15 2023,
dispense(pressure=100),Thu Sep 28 13:50:24 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:50:24 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:50:26 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:50:28 2023,
close_valve(channel=0),Thu Sep 28 13:50:29 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:50:30 2023,
dispense(pressure=100),Thu Sep 28 13:50:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:50:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:50:33 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:50:36 2023,
close_valve(channel=0),Thu Sep 28 13:50:37 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:50:38 2023,
dispense(pressure=100),Thu Sep 28 13:50:39 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:50:39 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:50:41 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:50:43 2023,
close_valve(channel=0),Thu Sep 28 13:50:44 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:50:45 2023,
dispense(pressure=100),Thu Sep 28 13:50:46 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:50:46 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:50:48 2023,
