Seyonic Pipettor Initializing...,Mon Jul 24 12:38:47 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:38:53 2023,
close_valve(channel=0),Mon Jul 24 12:38:57 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:38:59 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:39:07 2023,
close_valve(channel=0),Mon Jul 24 12:39:08 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:39:09 2023,
dispense(pressure=20),Mon Jul 24 12:39:12 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:39:12 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:39:24 2023,
dispense(pressure=20),Mon Jul 24 12:39:26 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:39:26 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:39:38 2023,
dispense(pressure=20),Mon Jul 24 12:39:40 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:39:40 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:39:51 2023,
