Seyonic Pipettor Initializing...,Tue Jul 18 10:36:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:36:21 2023,
close_valve(channel=0),Tue Jul 18 10:36:24 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:36:25 2023,
dispense(pressure=100),Tue Jul 18 10:36:27 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:36:27 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:36:31 2023,
dispense(pressure=100),Tue Jul 18 10:36:39 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:36:39 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:36:41 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:36:44 2023,
close_valve(channel=0),Tue Jul 18 10:36:48 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:36:50 2023,
dispense(pressure=100),Tue Jul 18 10:36:57 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:36:57 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:37:02 2023,
dispense(pressure=100),Tue Jul 18 10:37:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:37:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:37:11 2023,
dispense(pressure=100),Tue Jul 18 10:37:18 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:37:18 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:37:21 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:37:29 2023,
close_valve(channel=0),Tue Jul 18 10:37:33 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:37:34 2023,
dispense(pressure=100),Tue Jul 18 10:37:36 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:37:36 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:37:40 2023,
dispense(pressure=100),Tue Jul 18 10:37:47 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:37:47 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:37:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:37:52 2023,
close_valve(channel=0),Tue Jul 18 10:37:57 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:37:58 2023,
dispense(pressure=100),Tue Jul 18 10:38:05 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:38:05 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:38:10 2023,
dispense(pressure=100),Tue Jul 18 10:38:17 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:38:17 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:38:20 2023,
dispense(pressure=100),Tue Jul 18 10:38:27 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:38:27 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:38:29 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:38:38 2023,
close_valve(channel=0),Tue Jul 18 10:38:41 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:38:42 2023,
dispense(pressure=100),Tue Jul 18 10:38:44 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:38:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:38:48 2023,
dispense(pressure=100),Tue Jul 18 10:38:55 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:38:55 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:38:58 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:39:01 2023,
close_valve(channel=0),Tue Jul 18 10:39:05 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:39:06 2023,
dispense(pressure=100),Tue Jul 18 10:39:14 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:39:14 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:39:19 2023,
dispense(pressure=100),Tue Jul 18 10:39:26 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:39:26 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:39:28 2023,
dispense(pressure=100),Tue Jul 18 10:39:36 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:39:36 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:39:38 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:39:47 2023,
close_valve(channel=0),Tue Jul 18 10:39:50 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:39:51 2023,
dispense(pressure=100),Tue Jul 18 10:39:53 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:39:53 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:39:57 2023,
dispense(pressure=100),Tue Jul 18 10:40:04 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:40:04 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:40:07 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 10:40:10 2023,
close_valve(channel=0),Tue Jul 18 10:40:14 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 10:40:15 2023,
dispense(pressure=100),Tue Jul 18 10:40:23 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:40:23 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:40:28 2023,
dispense(pressure=100),Tue Jul 18 10:40:35 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:40:35 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:40:37 2023,
dispense(pressure=100),Tue Jul 18 10:40:44 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 10:40:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 10:40:47 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:01:19 2023,
close_valve(channel=0),Tue Jul 18 11:01:24 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:01:25 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:01:35 2023,
close_valve(channel=2),Tue Jul 18 11:01:36 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:01:37 2023,
close_valve(channel=0),Tue Jul 18 11:01:38 2023,
