Seyonic Pipettor Initializing...,Thu Sep 28 10:54:28 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:54:47 2023,
close_valve(channel=0),Thu Sep 28 10:54:51 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:54:52 2023,
dispense(pressure=100),Thu Sep 28 10:54:54 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:54:54 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:54:58 2023,
dispense(pressure=100),Thu Sep 28 10:55:05 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:55:05 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:55:07 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:55:10 2023,
close_valve(channel=0),Thu Sep 28 10:55:14 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:55:15 2023,
dispense(pressure=100),Thu Sep 28 10:55:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:55:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:55:28 2023,
dispense(pressure=100),Thu Sep 28 10:55:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:55:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:55:34 2023,
dispense(pressure=100),Thu Sep 28 10:55:38 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:55:38 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:55:41 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:55:49 2023,
close_valve(channel=0),Thu Sep 28 10:55:52 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:55:53 2023,
dispense(pressure=100),Thu Sep 28 10:55:55 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:55:55 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:55:59 2023,
dispense(pressure=100),Thu Sep 28 10:56:03 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:56:03 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:56:06 2023,
