Seyonic Pipettor Initializing...,Wed Sep 20 12:08:29 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:08:49 2023,
close_valve(channel=0),Wed Sep 20 12:08:51 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:08:52 2023,
dispense(pressure=100),Wed Sep 20 12:09:07 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:09:07 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:09:09 2023,
dispense(pressure=100),Wed Sep 20 12:09:24 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:09:24 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:09:26 2023,
change_timeout(timeout_in_seconds=200),Wed Sep 20 12:10:00 2023,
set_pressure(pressure=-500; direction=2),Wed Sep 20 12:10:00 2023,
open_valve(),Wed Sep 20 12:10:01 2023,
close_valve(channel=0),Wed Sep 20 12:12:47 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:12:47 2023,
set_pressure(pressure=241; direction=1),Wed Sep 20 12:12:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:12:47 2023,
change_timeout(timeout_in_seconds=65),Wed Sep 20 12:12:50 2023,
change_timeout(timeout_in_seconds=200),Wed Sep 20 12:12:59 2023,
set_pressure(pressure=-500; direction=2),Wed Sep 20 12:12:59 2023,
open_valve(),Wed Sep 20 12:13:00 2023,
close_valve(channel=0),Wed Sep 20 12:15:46 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:15:47 2023,
set_pressure(pressure=241; direction=1),Wed Sep 20 12:15:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:15:47 2023,
change_timeout(timeout_in_seconds=65),Wed Sep 20 12:15:50 2023,
