Seyonic Pipettor Initializing...,Wed Aug  2 15:30:20 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:30:42 2023,
close_valve(channel=0),Wed Aug  2 15:30:43 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:30:44 2023,
dispense(pressure=20),Wed Aug  2 15:30:55 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:30:55 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:30:57 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:30:59 2023,
close_valve(channel=0),Wed Aug  2 15:31:00 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:31:01 2023,
dispense(pressure=20),Wed Aug  2 15:31:19 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:31:19 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:31:21 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:31:23 2023,
close_valve(channel=0),Wed Aug  2 15:31:25 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:31:26 2023,
dispense(pressure=20),Wed Aug  2 15:31:38 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:31:38 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:31:40 2023,
