Seyonic Pipettor Initializing...,Wed Sep 20 11:48:59 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:49:18 2023,
close_valve(channel=0),Wed Sep 20 11:49:19 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:49:20 2023,
dispense(pressure=100),Wed Sep 20 11:49:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:49:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:49:32 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:50:08 2023,
close_valve(channel=0),Wed Sep 20 11:50:09 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:50:10 2023,
dispense(pressure=100),Wed Sep 20 11:50:20 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:50:20 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:50:22 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:50:24 2023,
close_valve(channel=0),Wed Sep 20 11:50:25 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:50:26 2023,
dispense(pressure=100),Wed Sep 20 11:50:27 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:50:27 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:50:29 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:50:31 2023,
close_valve(channel=0),Wed Sep 20 11:50:32 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:50:33 2023,
dispense(pressure=100),Wed Sep 20 11:50:34 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:50:34 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:50:36 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:50:38 2023,
close_valve(channel=0),Wed Sep 20 11:50:39 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:50:40 2023,
dispense(pressure=100),Wed Sep 20 11:50:41 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:50:42 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:50:43 2023,
dispense(pressure=100),Wed Sep 20 11:50:46 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:50:46 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:50:48 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:51:25 2023,
close_valve(channel=0),Wed Sep 20 11:51:26 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:51:27 2023,
dispense(pressure=100),Wed Sep 20 11:51:38 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:51:38 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:51:40 2023,
