Seyonic Pipettor Initializing...,Thu Jul  6 11:33:04 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:33:12 2023,
close_valve(channel=0),Thu Jul  6 11:33:16 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:33:17 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:33:22 2023,
close_valve(channel=0),Thu Jul  6 11:33:23 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:33:24 2023,
dispense(pressure=200),Thu Jul  6 11:34:25 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:34:25 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:34:29 2023,
dispense(pressure=100),Thu Jul  6 11:34:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:34:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:34:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:34:46 2023,
close_valve(channel=0),Thu Jul  6 11:34:50 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:34:51 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:34:56 2023,
close_valve(channel=0),Thu Jul  6 11:34:57 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:34:58 2023,
dispense(pressure=200),Thu Jul  6 11:35:59 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:35:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:36:03 2023,
dispense(pressure=100),Thu Jul  6 11:36:07 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:36:07 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:36:09 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:36:19 2023,
close_valve(channel=0),Thu Jul  6 11:36:24 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:36:25 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:36:30 2023,
close_valve(channel=0),Thu Jul  6 11:36:31 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:36:32 2023,
dispense(pressure=200),Thu Jul  6 11:37:33 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:37:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:37:37 2023,
dispense(pressure=100),Thu Jul  6 11:37:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:37:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:37:43 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:37:53 2023,
close_valve(channel=0),Thu Jul  6 11:37:58 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:37:59 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:38:03 2023,
close_valve(channel=0),Thu Jul  6 11:38:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:38:06 2023,
dispense(pressure=200),Thu Jul  6 11:39:06 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:39:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:39:10 2023,
dispense(pressure=100),Thu Jul  6 11:39:14 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:39:14 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:39:16 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:39:26 2023,
close_valve(channel=0),Thu Jul  6 11:39:30 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:39:31 2023,
dispense(pressure=200),Thu Jul  6 11:39:34 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:39:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:39:36 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:39:39 2023,
close_valve(channel=0),Thu Jul  6 11:39:42 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:39:43 2023,
dispense(pressure=200),Thu Jul  6 11:39:45 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:39:45 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:39:48 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:39:50 2023,
close_valve(channel=0),Thu Jul  6 11:39:53 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:39:54 2023,
dispense(pressure=200),Thu Jul  6 11:39:56 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:39:56 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:39:59 2023,
dispense(pressure=200),Thu Jul  6 11:40:08 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:40:08 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:40:10 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:40:17 2023,
close_valve(channel=0),Thu Jul  6 11:40:21 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:40:22 2023,
dispense(pressure=100),Thu Jul  6 11:40:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:40:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:40:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:42:46 2023,
close_valve(channel=0),Thu Jul  6 11:42:49 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:42:50 2023,
dispense(pressure=200),Thu Jul  6 11:43:00 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:43:00 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:43:03 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:43:05 2023,
close_valve(channel=0),Thu Jul  6 11:43:08 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:43:09 2023,
dispense(pressure=200),Thu Jul  6 11:43:11 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:43:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:43:14 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:43:16 2023,
close_valve(channel=0),Thu Jul  6 11:43:20 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:43:21 2023,
dispense(pressure=200),Thu Jul  6 11:43:23 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:43:23 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:43:25 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:43:29 2023,
close_valve(channel=0),Thu Jul  6 11:43:32 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:43:33 2023,
