Seyonic Pipettor Initializing...,Tue Aug  8 11:29:49 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:29:57 2023,
close_valve(channel=0),Tue Aug  8 11:29:59 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:30:00 2023,
dispense(pressure=100),Tue Aug  8 11:30:02 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:02 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:05 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:30:08 2023,
close_valve(channel=0),Tue Aug  8 11:30:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:30:10 2023,
dispense(pressure=100),Tue Aug  8 11:30:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:15 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:30:18 2023,
close_valve(channel=0),Tue Aug  8 11:30:20 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:30:21 2023,
dispense(pressure=100),Tue Aug  8 11:30:23 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:23 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:26 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:30:29 2023,
close_valve(channel=0),Tue Aug  8 11:30:31 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:30:32 2023,
dispense(pressure=100),Tue Aug  8 11:30:34 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:34 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:37 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:30:40 2023,
close_valve(channel=0),Tue Aug  8 11:30:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:30:42 2023,
dispense(pressure=100),Tue Aug  8 11:30:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:47 2023,
dispense(pressure=100),Tue Aug  8 11:30:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:30:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:30:55 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:31:30 2023,
close_valve(channel=0),Tue Aug  8 11:31:32 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:31:33 2023,
dispense(pressure=100),Tue Aug  8 11:31:41 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:31:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:31:44 2023,
dispense(pressure=100),Tue Aug  8 11:31:48 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:31:48 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:31:50 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:32:25 2023,
close_valve(channel=0),Tue Aug  8 11:32:27 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:32:28 2023,
dispense(pressure=100),Tue Aug  8 11:32:38 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:32:38 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:32:40 2023,
dispense(pressure=100),Tue Aug  8 11:32:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:32:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:32:46 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:33:21 2023,
close_valve(channel=0),Tue Aug  8 11:33:23 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:33:24 2023,
dispense(pressure=100),Tue Aug  8 11:33:34 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:33:34 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:33:36 2023,
dispense(pressure=100),Tue Aug  8 11:33:40 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:33:40 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 11:33:42 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 11:33:45 2023,
close_valve(channel=0),Tue Aug  8 11:33:47 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 11:33:48 2023,
dispense(pressure=100),Tue Aug  8 11:33:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 11:33:50 2023,
