Seyonic Pipettor Initializing...,Tue Aug  8 10:02:16 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:02:36 2023,
close_valve(channel=0),Tue Aug  8 10:02:40 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:02:41 2023,
dispense(pressure=100),Tue Aug  8 10:02:43 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:02:43 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:02:46 2023,
dispense(pressure=100),Tue Aug  8 10:02:54 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:02:54 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:02:56 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:02:59 2023,
close_valve(channel=0),Tue Aug  8 10:03:03 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:03:04 2023,
dispense(pressure=100),Tue Aug  8 10:03:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:03:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:03:17 2023,
dispense(pressure=100),Tue Aug  8 10:03:21 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:03:21 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:03:23 2023,
dispense(pressure=100),Tue Aug  8 10:03:27 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:03:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:03:30 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:03:38 2023,
close_valve(channel=0),Tue Aug  8 10:03:42 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:03:43 2023,
dispense(pressure=100),Tue Aug  8 10:03:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:03:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:03:48 2023,
dispense(pressure=100),Tue Aug  8 10:03:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:03:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:03:55 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:03:58 2023,
close_valve(channel=0),Tue Aug  8 10:04:02 2023,
