Seyonic Pipettor Initializing...,Thu Aug 24 11:08:18 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:08:25 2023,
close_valve(channel=0),Thu Aug 24 11:08:27 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:08:28 2023,
dispense(pressure=100),Thu Aug 24 11:08:30 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:08:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:08:32 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:08:36 2023,
close_valve(channel=0),Thu Aug 24 11:08:37 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:08:38 2023,
dispense(pressure=100),Thu Aug 24 11:08:40 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:08:40 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:08:42 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:08:45 2023,
close_valve(channel=0),Thu Aug 24 11:08:47 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:08:48 2023,
dispense(pressure=100),Thu Aug 24 11:08:50 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:08:50 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:08:52 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:08:55 2023,
close_valve(channel=0),Thu Aug 24 11:08:57 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:08:58 2023,
dispense(pressure=100),Thu Aug 24 11:09:00 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:09:00 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:09:02 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:09:05 2023,
close_valve(channel=0),Thu Aug 24 11:09:07 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:09:08 2023,
dispense(pressure=100),Thu Aug 24 11:09:10 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:09:10 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:09:12 2023,
dispense(pressure=100),Thu Aug 24 11:09:18 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:09:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:09:20 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:09:55 2023,
close_valve(channel=0),Thu Aug 24 11:09:56 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:09:57 2023,
dispense(pressure=100),Thu Aug 24 11:10:06 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:10:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:10:08 2023,
dispense(pressure=100),Thu Aug 24 11:10:12 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:10:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:10:14 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:10:50 2023,
close_valve(channel=0),Thu Aug 24 11:10:51 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:10:52 2023,
dispense(pressure=100),Thu Aug 24 11:11:02 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:11:02 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:11:04 2023,
dispense(pressure=100),Thu Aug 24 11:11:08 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:11:08 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:11:10 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:11:46 2023,
close_valve(channel=0),Thu Aug 24 11:11:47 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:11:48 2023,
dispense(pressure=100),Thu Aug 24 11:11:58 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:11:58 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:01 2023,
dispense(pressure=100),Thu Aug 24 11:12:05 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:05 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:07 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:12:10 2023,
close_valve(channel=0),Thu Aug 24 11:12:11 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:12:12 2023,
dispense(pressure=100),Thu Aug 24 11:12:14 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:14 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:17 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:12:20 2023,
close_valve(channel=0),Thu Aug 24 11:12:22 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:12:23 2023,
dispense(pressure=100),Thu Aug 24 11:12:25 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:25 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:27 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:12:30 2023,
close_valve(channel=0),Thu Aug 24 11:12:32 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:12:33 2023,
dispense(pressure=100),Thu Aug 24 11:12:35 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:35 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:38 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:12:41 2023,
close_valve(channel=0),Thu Aug 24 11:12:42 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:12:43 2023,
dispense(pressure=100),Thu Aug 24 11:12:45 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:48 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:12:51 2023,
close_valve(channel=0),Thu Aug 24 11:12:53 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:12:54 2023,
dispense(pressure=100),Thu Aug 24 11:12:56 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:12:56 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:12:58 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:13:01 2023,
close_valve(channel=0),Thu Aug 24 11:13:03 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:13:04 2023,
dispense(pressure=100),Thu Aug 24 11:13:06 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:13:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:13:08 2023,
dispense(pressure=100),Thu Aug 24 11:13:14 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:13:14 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:13:17 2023,
dispense(pressure=100),Thu Aug 24 11:13:21 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:13:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:13:23 2023,
dispense(pressure=100),Thu Aug 24 11:13:27 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:13:27 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:13:29 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:14:05 2023,
close_valve(channel=0),Thu Aug 24 11:14:06 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:14:07 2023,
dispense(pressure=100),Thu Aug 24 11:14:09 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:14:09 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:14:12 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:14:15 2023,
close_valve(channel=0),Thu Aug 24 11:14:16 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:14:17 2023,
dispense(pressure=100),Thu Aug 24 11:14:19 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:14:19 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:14:22 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:14:25 2023,
close_valve(channel=0),Thu Aug 24 11:14:26 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:14:27 2023,
dispense(pressure=100),Thu Aug 24 11:14:29 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:14:29 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:14:31 2023,
dispense(pressure=100),Thu Aug 24 11:14:36 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:14:36 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:14:38 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:17:12 2023,
close_valve(channel=0),Thu Aug 24 11:17:14 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:17:15 2023,
dispense(pressure=100),Thu Aug 24 11:17:24 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:17:24 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:17:27 2023,
dispense(pressure=100),Thu Aug 24 11:17:32 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:17:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:17:34 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:17:46 2023,
close_valve(channel=0),Thu Aug 24 11:17:47 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:17:48 2023,
dispense(pressure=100),Thu Aug 24 11:18:00 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:18:00 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:18:03 2023,
