Seyonic Pipettor Initializing...,Mon Jul 31 13:40:13 2023,
set_pressure(pressure=-8; direction=None),Mon Jul 31 13:40:23 2023,
close_valve(channel=0),Mon Jul 31 13:40:25 2023,
set_pressure(pressure=0; direction=2),Mon Jul 31 13:40:26 2023,
dispense(pressure=20),Mon Jul 31 13:40:42 2023,
set_pressure(pressure=20; direction=1),Mon Jul 31 13:40:42 2023,
set_pressure(pressure=0; direction=1),Mon Jul 31 13:40:44 2023,
set_pressure(pressure=-8; direction=None),Mon Jul 31 13:40:48 2023,
close_valve(channel=0),Mon Jul 31 13:40:50 2023,
set_pressure(pressure=0; direction=2),Mon Jul 31 13:40:51 2023,
dispense(pressure=20),Mon Jul 31 13:41:02 2023,
set_pressure(pressure=20; direction=1),Mon Jul 31 13:41:02 2023,
set_pressure(pressure=0; direction=1),Mon Jul 31 13:41:04 2023,
set_pressure(pressure=-8; direction=None),Mon Jul 31 13:41:16 2023,
close_valve(channel=0),Mon Jul 31 13:41:17 2023,
set_pressure(pressure=0; direction=2),Mon Jul 31 13:41:18 2023,
