Seyonic Pipettor Initializing...,Tue Jul 18 12:19:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:20:02 2023,
close_valve(channel=0),Tue Jul 18 12:20:04 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:20:05 2023,
dispense(pressure=100),Tue Jul 18 12:20:15 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:20:15 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:20:18 2023,
dispense(pressure=100),Tue Jul 18 12:20:23 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:20:23 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:20:25 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:20:37 2023,
close_valve(channel=0),Tue Jul 18 12:20:39 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:20:40 2023,
dispense(pressure=100),Tue Jul 18 12:20:50 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:20:50 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:20:53 2023,
dispense(pressure=100),Tue Jul 18 12:20:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:20:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:21:00 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:21:32 2023,
close_valve(channel=0),Tue Jul 18 12:21:34 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:21:35 2023,
dispense(pressure=100),Tue Jul 18 12:21:44 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:21:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:21:46 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:22:08 2023,
close_valve(channel=0),Tue Jul 18 12:22:10 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:22:11 2023,
dispense(pressure=100),Tue Jul 18 12:22:20 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:22:20 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:22:23 2023,
dispense(pressure=100),Tue Jul 18 12:22:28 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:22:28 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:22:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:22:39 2023,
close_valve(channel=0),Tue Jul 18 12:22:41 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:22:42 2023,
dispense(pressure=100),Tue Jul 18 12:22:51 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:22:51 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:22:53 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:23:15 2023,
close_valve(channel=0),Tue Jul 18 12:23:17 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:23:18 2023,
dispense(pressure=100),Tue Jul 18 12:23:28 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:23:28 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:23:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:24:03 2023,
close_valve(channel=0),Tue Jul 18 12:24:05 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:24:06 2023,
dispense(pressure=100),Tue Jul 18 12:24:16 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:24:16 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:24:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:24:30 2023,
close_valve(channel=0),Tue Jul 18 12:24:31 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:24:32 2023,
dispense(pressure=100),Tue Jul 18 12:24:43 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:24:43 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:24:45 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:28:18 2023,
close_valve(channel=0),Tue Jul 18 12:28:19 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:28:20 2023,
dispense(pressure=100),Tue Jul 18 12:28:30 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:28:30 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:28:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:28:34 2023,
close_valve(channel=0),Tue Jul 18 12:28:36 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:28:37 2023,
dispense(pressure=100),Tue Jul 18 12:28:38 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:28:38 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:28:40 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:28:42 2023,
close_valve(channel=0),Tue Jul 18 12:28:43 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:28:44 2023,
dispense(pressure=100),Tue Jul 18 12:28:45 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:28:45 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:28:47 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:28:49 2023,
close_valve(channel=0),Tue Jul 18 12:28:50 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:28:51 2023,
dispense(pressure=100),Tue Jul 18 12:28:52 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:28:53 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:28:55 2023,
dispense(pressure=100),Tue Jul 18 12:31:07 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:31:07 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:31:09 2023,
